[Tm30-Bar-Camp] 99
0.96643	0.75751	0.79577
0.83718	0.41399	0.50329
0.368	0.22969	0.25309
0.82089	0.55596	0.55946
0.73255	0.27112	0.32758
0.59737	0.38749	0.38068
0.63009	0.21893	0.25392
0.60233	0.23101	0.25968
0.26611	0.24177	0.24275
1	0.53494	0.43999
0.80063	0.37274	0.26871
0.90066	0.41274	0.29271
0.54624	0.30673	0.23153
0.7483	0.6633	0.62339
0.79352	0.60704	0.54056
0.59198	0.35015	0.24682
0.59148	0.3791	0.25445
0.62826	0.45792	0.36346
0.84639	0.58724	0.35133
0.87089	0.49816	0.22251
1	0.74103	0.40427
0.97278	0.64561	0.31215
0.9547	0.87335	0.74643
1	0.83896	0.54066
0.8336	0.6018	0.16678
1	0.82116	0.44681
0.72424	0.66933	0.51648
0.39918	0.3624	0.2254
0.94121	0.80962	0.42919
0.63945	0.5729	0.40866
0.94615	0.83778	0.45069
0.78847	0.68567	0.26147
0.92089	0.86159	0.63326
0.60701	0.56043	0.20987
0.38112	0.37561	0.23607
0.77261	0.758	0.69124
0.42231	0.43411	0.24259
0.84102	0.83268	0.6474
0.30546	0.31019	0.2576
0.43947	0.45308	0.33072
0.84009	0.85749	0.76908
0.52409	0.67898	0.27432
0.55436	0.72302	0.30126
0.24474	0.24801	0.23809
0.38427	0.57587	0.31474
0.50482	0.64803	0.44954
0.59156	0.66773	0.54206
0.54221	0.78677	0.57444
0.27393	0.4519	0.29265
0.3392	0.53281	0.42609
0.40533	0.56434	0.47571
0.15606	0.41203	0.29865
0	0.52572	0.40042
0.69682	0.87702	0.83257
0.6314	0.84102	0.80524
0.08985	0.74648	0.68438
0	0.60979	0.55019
0	0.57003	0.5337
0.69483	0.87311	0.85042
0.80604	0.86358	0.86029
0.59555	0.75018	0.7504
0.57332	0.62218	0.63024
0.29021	0.30258	0.30872
0	0.60686	0.66132
0.15453	0.38842	0.41787
0	0.45488	0.53619
0	0.48771	0.58417
0.38983	0.6193	0.69325
0.41841	0.48685	0.53216
0.43406	0.71288	0.84973
0.11154	0.33259	0.45285
0.66722	0.72602	0.75828
0.09761	0.5675	0.75857
0.23695	0.24461	0.25587
0.14148	0.30668	0.44251
0.18748	0.44742	0.7079
0.29239	0.40523	0.56381
0.19604	0.40536	0.65889
0.63144	0.68757	0.82517
0.57721	0.59059	0.77238
0.39672	0.36376	0.60349
0.83334	0.83471	0.89161
0.67601	0.66404	0.7823
0.2568	0.23429	0.27092
0.3886	0.34663	0.43344
0.65279	0.56218	0.76512
0.41983	0.29946	0.50098
0.67942	0.50182	0.69777
0.43368	0.27937	0.43857
0.508	0.31603	0.50011
0.7805	0.7504	0.76419
0.61438	0.45648	0.56437
0.71005	0.57627	0.65949
0.49891	0.2666	0.40126
0.78618	0.58629	0.68729
0.87116	0.67707	0.76559
0.63053	0.38286	0.48642
0.8438	0.45346	0.58054
0.73318	0.31932	0.46513
