[CIE_UCS] 3201
 Tc	      urt	      vrt	   xt	   yt	   ur	   vr	  cr	  dr	 Ur1	 Ur2	 Ur3	 Ur4	 Ur5	 Ur6	 Ur7	 Ur8	 Ur9	Ur10	 Ur11	 Ur12	Ur13	 Ur14	Vr1	Vr2	Vr3	Vr4	 Vr5	 Vr6	 Vr7	 Vr8	 Vr9	Vr10	Vr11	 Vr12	Vr13	Vr14	 Wr1	 Wr2	 Wr3	 Wr4	 Wr5	 Wr6	 Wr7	 Wr8	 Wr9	Wr10	Wr11	Wr12	Wr13	Wr14
2324	0.282139303702	0.356086359467	0.49337	0.41512	0.28360	0.3563	0.4292	1.6630	39.69	15.82	-17.73	-43.38	-37.38	-21.62	21.04	51.15	131.36	24.88	-52.07	-33.86	34.64	-12.69	0.37	4.70	9.35	5.59	-0.88	-8.16	-7.77	-6.30	-5.07	10.41	4.95	-16.91	2.68	5.26	63.95	61.60	60.84	56.92	58.06	57.43	60.92	65.00	50.04	83.58	46.59	22.24	82.44	39.45
2326	0.282017477590	0.356064684450	0.49318	0.41511	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2328	0.281895863184	0.356042977019	0.49298	0.41510	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2330	0.281774460013	0.356021237302	0.49279	0.41509	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2332	0.281653267606	0.355999465429	0.49260	0.41508	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2334	0.281532285494	0.355977661529	0.49241	0.41508	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2336	0.281411513212	0.355955825732	0.49221	0.41507	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2338	0.281290950292	0.355933958166	0.49202	0.41506	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2340	0.281170596270	0.355912058959	0.49183	0.41505	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2342	0.281050450682	0.355890128241	0.49164	0.41504	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2344	0.280930513067	0.355868166137	0.49145	0.41503	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2346	0.280810782962	0.355846172777	0.49126	0.41502	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
2348	0.280691259909	0.355824148287	0.49107	0.41501	0.28060	0.3558	0.4537	1.6756	39.73	15.98	-17.39	-43.19	-37.28	-21.88	20.62	50.60	131.24	25.27	-52.03	-34.01	34.77	-12.49	0.55	5.03	9.77	5.75	-1.05	-8.63	-8.11	-6.41	-4.71	11.10	5.07	-17.63	2.98	5.48	63.85	61.55	60.88	57.04	58.17	57.50	60.87	64.87	49.68	83.50	46.74	22.43	82.35	39.48
